ticker,filed,items,open,prior_dollars,d0,pk_d0,d1,pk_d1,d3,pk_d3,d5,pk_d5,d10,pk_d10
SPXC,2026-07-27 06:47:07-04:00,"5.02,9.01",214.8000030517578,97607096.32873535,-0.04897581062848522,0.0,-0.12639668887123534,0.0,-0.12639668887123534,0.0,-0.12639668887123534,0.0,-0.12639668887123534,0.0
SRBK,2026-07-28 16:00:38-04:00,"2.02,9.01",19.530000686645508,450513.002204895,-0.009728649635303843,0.0015360357522868906,-0.009728649635303843,0.0015360357522868906,-0.009728649635303843,0.0015360357522868906,-0.009728649635303843,0.0015360357522868906,-0.009728649635303843,0.0015360357522868906
SRBK,2026-07-10 16:29:33-04:00,8.01,18.959999084472656,510115.4923439026,0.009493687440269571,0.010548563955535384,0.016877722448569,0.021097127911070768,0.06276374427845677,0.06276374427845677,0.010021125697902589,0.06540093556662141,0.016350284190935982,0.06540093556662141
SRPT,2026-07-27 09:08:03-04:00,"5.02,7.01,9.01",15.739999771118164,54003145.91598511,-0.019695010829111403,0.015247762046257884,-0.012706468371881607,0.015247762046257884,-0.012706468371881607,0.015247762046257884,-0.012706468371881607,0.015247762046257884,-0.012706468371881607,0.015247762046257884
SSD,2026-07-27 16:20:03-04:00,"2.02,7.01,9.01",198.0,55535371.53015137,0.0014141352489740466,0.05717175416272102,-0.043030324608388626,0.05717175416272102,-0.043030324608388626,0.05717175416272102,-0.043030324608388626,0.05717175416272102,-0.043030324608388626,0.05717175416272102
SSII,2026-07-14 08:35:22-04:00,"5.02,9.01",3.549999952316284,253738.4978055954,-0.008450696279642567,0.09014082747635133,0.016901392559285133,0.09014082747635133,0.05633804235778106,0.09014082747635133,0.008450696279642456,0.09014082747635133,0.08450702995658976,0.16788731384125977
SSNC,2026-07-23 16:10:26-04:00,"2.02,9.01",72.25,123704142.31643677,0.022560515618241794,0.04442905307228595,0.03861592962667615,0.053010405966154917,0.0838753987348615,0.10726643598615926,0.0838753987348615,0.10726643598615926,0.0838753987348615,0.10726643598615926
SSB,2026-07-23 16:25:00-04:00,"2.02,7.01,8.01,9.01",103.80999755859375,72509447.46246338,0.02109625751768407,0.032655808393936336,0.013004586603073909,0.03458244920253306,0.01830268346559283,0.03458244920253306,0.01830268346559283,0.03458244920253306,0.01830268346559283,0.03458244920253306
SSB,2026-07-13 08:58:31-04:00,"5.02,9.01",100.30000305175781,81459397.56164551,0.0037886065987642326,0.007876303709832833,0.00847456080018727,0.01944164395723824,0.028813552360084316,0.04027909434906052,0.01974073446954261,0.04027909434906052,0.0628115177535169,0.07078761972177894
SSB,2026-07-06 09:39:50-04:00,"7.01,9.01",100.38999938964844,78696045.84960938,-0.0055782205598010615,0.009363506794713539,-0.027691989204091327,0.009363506794713539,-0.007072408494763538,0.009363506794713539,0.002888743074912714,0.009363506794713539,0.018826570386883734,0.039346518301199396
