ticker,accession,band,verdict,impact,items,entry,cap,binary,ceiling,pre_vol,prior_dollars,6% target / 10% stop,no target / 10% stop,trail 15%,trail 20%,r_vol,r_illiq,r_cheap,r_binary,score
FSBC,0001628280-26-048805,small,neutral,low,"7.01,9.01",48.63999938964844,761984766.7194939,False,0.02425987499964699,0.057001776944841834,55426511.63017212,-0.01541940808822495,-0.01541940808822495,-0.01541940808822495,-0.01541940808822495,0.425,0.4375,0.2875,0.0,0.2875
FSBC,0001628280-26-047852,small,neutral,low,"7.01,9.01",48.36000061035156,761984766.7194939,True,0.03928862049631454,0.06342823969075419,26844280.863908842,-0.009718800967147168,-0.009718800967147168,-0.009718800967147168,-0.009718800967147168,0.5,0.5625,0.3,1.0,0.590625
HBCP,0001628280-26-047052,small,neutral,low,"7.01,9.01",69.12000274658203,417215720.9320755,True,0.04210063537445019,0.06408957684556198,6654238.55418396,0.03457753609199066,0.03457753609199066,0.03457753609199066,0.03457753609199066,0.5125,0.7875,0.1375,1.0,0.609375
HTB,0001538263-26-000095,small,neutral,low,"2.02,7.01,9.01",47.66999816894531,700737773.7425919,False,0.08873512732142785,0.06582162846962906,84082633.06754303,0.06000000000000005,0.08139293511957524,0.08139293511957524,0.08139293511957524,0.5375,0.375,0.3125,0.0,0.30625
HTB,0001538263-26-000091,small,neutral,low,8.01,50.540000915527344,700737773.7425919,False,0.026909390299075575,0.057806146189403745,9456855.903748322,0.019984137381028555,0.019984137381028555,0.019984137381028555,0.019984137381028555,0.45,0.725,0.275,0.0,0.36250000000000004
JMSB,0001104659-26-087344,micro,neutral,low,"7.01,9.01",23.43000030517578,265894918.14822006,True,0.01536494262324184,0.17842404016379249,9693389.532880172,0.006828845297828012,0.006828845297828012,0.006828845297828012,0.006828845297828012,0.8625,0.7,0.65,1.0,0.803125
KLRS,0001193125-26-296190,micro,neutral,low,5.02,4.804999828338623,88088389.49344063,False,0.3007284543776978,0.22032733129208862,479636.49068689346,-0.1040582763502158,-0.1040582763502158,0.10301776900736992,0.04058276350215828,0.8875,0.9625,0.8375,0.0,0.671875
LAZ,0001628280-26-047432,mid,neutral,low,"5.02,7.01,9.01",43.724998474121094,5484942597.41304,False,0.03716409506478913,0.02714485293364657,132705621.74264802,-0.0053744266176105615,-0.0053744266176105615,-0.0053744266176105615,-0.0053744266176105615,0.175,0.2625,0.3375,0.0,0.19375
LKFN,0000721994-26-000058,small,neutral,low,"7.01,9.01",60.6349983215332,1449857241.8735504,False,0.0645667492141131,0.04183045933116104,84976330.68598175,0.06000000000000005,0.04518845146061046,0.04518845146061046,0.04518845146061046,0.325,0.3625,0.225,0.0,0.228125
MAIN,0001396440-26-000084,mid,neutral,low,"2.02,9.01",51.130001068115234,5116312072.34404,False,0.10287498947097329,0.018786528194162207,153643592.97062835,0.06000000000000005,0.07901421897973382,0.07901421897973382,0.07901421897973382,0.0875,0.2375,0.2625,0.0,0.14687499999999998
