ticker,p_pre,p_first,gap,gap_min,up10_hit,up10_min,up10_gap_share,up10_in_gap,dn10_hit,dn10_min,up20_hit,up20_min,up20_gap_share,up20_in_gap,dn20_hit,dn20_min,up50_hit,up50_min,up50_gap_share,up50_in_gap,dn50_hit,dn50_min
AEHR,67.64,79.48999786376953,0.17519216238571156,224.0,True,224.0,1.7519216238571156,True,False,,True,8864.0,0.8759608119285578,False,False,,True,8864.0,0.3503843247714231,False,False,
AEHR,67.64,79.48999786376953,0.17519216238571156,181.0,True,181.0,1.7519216238571156,True,False,,True,8821.0,0.8759608119285578,False,False,,True,8821.0,0.3503843247714231,False,False,
AEHR,68.0,68.02999877929688,0.0004411585190717826,0.0,True,1486.0,0.004411585190717826,False,False,,False,,,False,False,,False,,,False,False,
AEHR,89.20999908447266,89.30500030517578,0.0010649167321834518,0.0,False,,,False,True,1314.0,False,,,False,True,7051.0,False,,,False,False,
AEHR,65.37000274658203,65.55680084228516,0.0028575506785164517,0.0,True,2730.0,0.028575506785164517,False,False,,True,2730.0,0.014287753392582259,False,False,,True,11370.0,0.0057151013570329035,False,False,
AEHR,72.29000091552734,72.58000183105469,0.004011632478276184,0.0,True,7121.0,0.040116324782761836,False,False,,True,7121.0,0.020058162391380918,False,False,,True,7128.0,0.008023264956552367,False,False,
AEHR,77.48999786376953,78.24949645996094,0.009801246833515576,0.0,True,8609.0,0.09801246833515576,False,True,5729.0,True,8609.0,0.04900623416757788,False,False,,False,,,False,False,
AEMD,0.6906999945640564,0.6904000043869019,-0.0004343277537506296,0.0,False,,,False,True,14353.0,False,,,False,True,24660.0,False,,,False,False,
AEMD,0.6913999915122986,0.6848000288009644,-0.009545795187092976,0.0,False,,,False,True,14144.0,False,,,False,True,24451.0,False,,,False,False,
AEO,17.40999984741211,17.485000610351562,0.004307912900447297,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AEO,16.145000457763672,16.155000686645508,0.0006194009661379951,0.0,True,4019.0,0.006194009661379951,False,False,,False,,,False,False,,False,,,False,False,
AEO,16.395000457763672,16.415000915527344,0.0012199119978799633,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AEO,17.360000610351562,17.360000610351562,0.0,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AEO,16.940000534057617,16.940000534057617,0.0,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AEO,17.385000228881836,17.385000228881836,0.0,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
