ticker,et,items,p_pre,entry,baseline_usd_per_min,gate_usd,rvol,entry_lag_min,moved_at_entry,r15m,r60m,r1d,r5d,fwd_up,fwd_dn
AGEN,2026-07-13 06:30:23-04:00,"1.01,3.02,7.01,8.01,9.01",3.3499999046325684,5.75,4428.840076446533,0.0,0.0,179.61666666666667,0.7164179593105588,-0.026086973107379396,0.29565214074176294,0.06149565217391317,-0.14958257260529895,0.5130434450895891,-0.190434746120287
AGEN,2026-07-06 16:10:32-04:00,1.01,3.42,3.359999895095825,4095.073516368866,0.0,0.0,1039.4666666666667,-0.01754389032285808,-0.00791663239990803,0.04761907465063331,-0.01339280930962139,0.8165476757629271,1.5892857383607204,-0.07738095195858385
AGL,2026-07-21 17:51:52-04:00,"5.02,9.01",125.78,123.69999694824219,94733.26500320435,0.0,0.0,938.1333333333333,-0.01653683456636834,-0.015480948531745531,-0.03779301162246074,-0.16624895165208775,-0.23225542794119947,0.00727567945095009,-0.2742926527263584
AGNC,2026-07-20 16:06:41-04:00,"2.02,9.01",10.925000190734863,11.149999618530273,220374.0581817627,0.0,0.0,1043.3166666666666,0.02059491293979332,-0.02229596543576251,-0.013452881045931897,-0.03318382342501325,-0.05381160971505916,-0.0022421183305447734,-0.061883372555151084
AGPU,2026-07-27 08:35:17-04:00,"8.01,9.01",6.820000171661377,7.889999866485596,8618.35015296936,0.0,0.0,54.71666666666667,0.1568914469049878,-0.09632443154694259,-0.07263626105511312,-0.09125473747394397,-0.06210390106589725,0.044359937966446106,-0.15842839304847556
AGPU,2026-07-22 08:35:17-04:00,"8.01,9.01",9.524999618530273,9.475000381469727,7609.6500997543335,0.0,0.0,54.71666666666667,-0.0052492639436201305,-0.20000004026065554,-0.23075465176646648,-0.253825869443954,-0.20633248779246594,-0.05013196436368339,-0.30199477456951795
AGYS,2026-07-27 16:05:18-04:00,"2.02,9.01",102.55000305175781,108.30000305175781,81471.05722045898,0.0,0.0,1044.7,0.05607020798524909,-0.04349036547687091,0.008217907336744101,0.03790392993412239,-0.020129272795439634,0.07017542252966491,-0.04967686732419885
AHCO,2026-07-20 16:35:23-04:00,"1.01,9.01",10.98,11.57979965209961,14463.225071430206,0.0,0.0,1014.6166666666667,0.05462656212200456,-0.002141604144190179,-0.02243561763422086,-0.056978496660434974,-0.0686367492155523,0.009516566054207143,-0.1044750170890194
AHCO,2026-07-07 16:45:49-04:00,7.01,10.140000343322754,10.135000228881836,15678.104763507843,0.0,0.0,1004.1833333333333,-0.0004931079163336127,-0.010360186831710472,-0.010360186831710472,-0.03897389727116474,0.07893440282863473,0.0883077931798033,-0.03897389727116474
AHCO,2026-07-02 16:01:45-04:00,1.05,10.770000457763672,10.755000114440918,15663.504860401154,0.0,0.0,5368.25,-0.0013927894786616157,-0.04230589668661355,-0.029288752273899155,-0.04602509347205286,-0.034867503115735055,0.00046491068226073295,-0.09437474035540883
