ticker,band,items,impact,paperwork_public_et,entry_t,entry_px,lag_min,exit_t,exit_px,exit_reason,held_min,size_usd,ret,pnl,balance_after,final_verdict,final_impact
IPW,small,"1.01,8.01,9.01",medium,2026-07-21 10:30:14-04:00,2026-07-21 14:32:00+00:00,1.0499000549316406,1.7666666666666666,2026-07-21 14:33:00+00:00,0.9275000095367432,stop,1.0,39.86953553019798,-0.11658256880733942,-4.648092869265966,4779.696170754489,trap,medium
TEX,mid,"8.01,9.01",low,2026-07-21 10:09:14-04:00,2026-07-21 14:11:00+00:00,64.01499938964844,1.7666666666666666,2026-07-21 16:36:00+00:00,65.33999633789062,time,145.0,39.86953553019798,0.02069822636687313,0.8252286715461281,4780.521399426035,neutral,low
FSBC,small,"7.01,9.01",low,2026-07-20 14:06:20-04:00,2026-07-20 18:28:00+00:00,48.63999938964844,21.666666666666668,2026-07-21 18:05:00+00:00,49.70500183105469,time,1417.0,39.869634164843255,0.021895609678665107,0.8729699477045756,4781.394369373739,neutral,low
MLI,mid,"2.02,9.01",low,2026-07-21 12:09:15-04:00,2026-07-21 16:11:00+00:00,60.650001525878906,1.75,2026-07-21 18:14:00+00:00,61.83000183105469,time,123.0,39.830801422954096,0.01945589901877054,0.7749440503216931,4782.169313424061,positive,low
SLNG,micro,"4.01,9.01",low,2026-07-10 12:05:27-04:00,2026-07-10 18:34:00+00:00,3.9600000381469727,148.55,2026-07-21 19:06:00+00:00,3.859999895095825,time,15872.0,39.928783647369,-0.02525256113329255,-1.0083040500331961,4781.161009374028,neutral,low
OSBC,small,8.01,low,2026-07-21 11:00:08-04:00,2026-07-21 15:02:00+00:00,23.5,1.8666666666666667,2026-07-21 19:13:00+00:00,23.649999618530273,time,251.0,39.830801422954096,0.006382962490649957,0.2542385114552417,4781.415247885483,neutral,low
FATN,micro,"8.01,9.01",medium,2026-07-21 10:37:34-04:00,2026-07-21 14:46:00+00:00,4.599999904632568,8.433333333333334,2026-07-22 15:12:00+00:00,4.760000228881836,time,1466.0,39.8308014229541,0.03478267990573958,1.385422016283691,4782.800669901767,positive,medium
AXTA,mid,"1.01,8.01,9.01",low,2026-07-23 09:04:24-04:00,2026-07-23 13:30:00+00:00,31.979999542236328,25.6,2026-07-23 15:43:00+00:00,32.15999984741211,time,133.0,39.856672249181415,0.005628527446914111,0.22433437369718234,4783.025004275464,positive,low
BPOP,mid,"5.02,7.01,9.01",low,2026-07-23 08:08:30-04:00,2026-07-23 13:30:00+00:00,175.1199951171875,81.5,2026-07-23 16:05:00+00:00,171.19000244140625,time,155.0,39.856672249181415,-0.022441713027409382,-0.8944520008436356,4782.130552274621,neutral,low
BPOP,mid,"8.01,9.01",low,2026-07-23 08:10:48-04:00,2026-07-23 13:30:00+00:00,175.1199951171875,79.2,2026-07-23 16:05:00+00:00,171.19000244140625,time,155.0,39.856672249181415,-0.022441713027409382,-0.8944520008436356,4781.236100273777,positive,low
MNSB,micro,8.01,low,2026-07-21 09:32:16-04:00,2026-07-21 13:42:00+00:00,24.170000076293945,9.733333333333333,2026-07-23 18:54:00+00:00,22.809999465942383,time,3192.0,39.887328930533464,-0.05626812602642306,-2.2443852511206472,4778.9917150226565,neutral,low
HTB,small,"2.02,7.01,9.01",low,2026-07-23 08:05:34-04:00,2026-07-23 13:30:00+00:00,47.66999816894531,84.43333333333334,2026-07-23 20:10:00+00:00,48.48,time,400.0,39.856672249181415,0.016991857817656886,0.6772389079430425,4779.6689539306,neutral,low
AROW,small,"2.02,7.01,8.01,9.01",low,2026-07-23 07:29:51-04:00,2026-07-23 13:30:00+00:00,40.23500061035156,120.15,2026-07-24 12:00:00+00:00,39.1,time,1350.0,39.856672249181415,-0.02820928527734512,-1.1243282376828034,4778.544625692917,neutral,low
FCFS,mid,"2.02,8.01,9.01",medium,2026-07-23 15:26:57-04:00,2026-07-23 19:28:00+00:00,191.94000244140625,1.05,2026-07-24 13:36:00+00:00,203.45640258789064,target,1088.0,39.82493095852215,0.06000000000000005,2.389495857511335,4780.934121550428,positive,medium
LASE,micro,"4.01,9.01",medium,2026-07-24 14:10:02-04:00,2026-07-24 18:14:00+00:00,1.090000033378601,3.966666666666667,2026-07-24 22:31:00+00:00,1.1,time,257.0,39.8411176795869,0.009174281023095698,0.36551360986675974,4781.299635160295,trap,medium
FATN,micro,"7.01,9.01",medium,2026-07-23 11:23:35-04:00,2026-07-23 15:28:00+00:00,4.675000190734863,4.416666666666667,2026-07-27 11:44:00+00:00,4.0,stop,5536.0,39.856672249181415,-0.1443850616461173,-5.75470807970715,4775.5449270805875,trap,medium
PROF,micro,"7.01,9.01",low,2026-07-24 11:58:37-04:00,2026-07-24 16:03:00+00:00,7.019999980926514,4.383333333333334,2026-07-27 13:40:00+00:00,7.4411999797821045,target,4177.0,39.8411176795869,0.06000000000000005,2.390467060775215,4777.935394141363,positive,low
ARCB,small,"8.01,9.01",low,2026-07-24 11:07:30-04:00,2026-07-24 15:09:00+00:00,153.32000732421875,1.5,2026-07-27 14:28:00+00:00,146.13250732421875,time,4279.0,39.84111767958691,-0.0468790742019789,-1.8677147119911268,4776.067679429371,neutral,low
JMSB,micro,"2.02,9.01",low,2026-07-22 08:40:12-04:00,2026-07-22 13:30:00+00:00,22.889999389648438,49.8,2026-07-27 15:00:00+00:00,22.93000030517578,time,7290.0,39.845127065712376,0.0017475280294430018,0.06963047638404873,4776.1373099057555,positive,low
JMSB,micro,"8.01,9.01",low,2026-07-22 08:45:14-04:00,2026-07-22 13:30:00+00:00,22.889999389648438,44.766666666666666,2026-07-27 15:00:00+00:00,22.93000030517578,time,7290.0,39.845127065712376,0.0017475280294430018,0.06963047638404873,4776.20694038214,positive,low
NKSH,micro,2.02,low,2026-07-23 16:30:14-04:00,2026-07-24 13:42:00+00:00,36.290000915527344,1031.7666666666667,2026-07-27 15:05:00+00:00,38.46740097045899,target,4403.0,39.83057461608834,0.06000000000000005,2.389834476965305,4778.596774859105,positive,low
AUB,mid,"8.01,9.01",low,2026-07-27 08:50:39-04:00,2026-07-27 13:30:00+00:00,42.529998779296875,39.35,2026-07-27 15:45:00+00:00,42.380001068115234,time,135.0,39.796207725671565,-0.0035268684572513642,-0.14035598974589192,4778.4564188693585,neutral,low
NGS,small,"1.01,3.03,5.03,8.01,9.01",low,2026-07-24 15:03:43-04:00,2026-07-24 19:05:00+00:00,36.150001525878906,1.2833333333333334,2026-07-27 16:31:00+00:00,36.560001373291016,time,4166.0,39.8411176795869,0.011341627388828712,0.4518631114763565,4778.9082819808345,neutral,low
NHI,mid,"5.02,9.01",low,2026-07-27 09:02:00-04:00,2026-07-27 13:30:00+00:00,80.04000091552734,28.0,2026-07-27 16:48:00+00:00,79.41999816894531,time,198.0,39.796207725671565,-0.00774616116304605,-0.30826783872111463,4778.600014142114,positive,low
CIVB,small,"7.01,9.01",low,2026-07-24 07:00:18-04:00,2026-07-24 13:30:00+00:00,28.854999542236328,149.7,2026-07-27 17:10:00+00:00,28.4950008392334,time,4540.0,39.83057461608834,-0.012476129222458776,-0.49693139591510516,4778.103082746198,positive,low
CARE,small,"7.01,9.01",low,2026-07-27 11:24:16-04:00,2026-07-27 15:26:00+00:00,34.33000183105469,1.7333333333333334,2026-07-27 19:09:00+00:00,34.150001525878906,time,223.0,39.82163979049254,-0.005243236107635552,-0.20879425961476983,4777.894288486584,neutral,low
BMRC,small,"2.02,7.01,8.01,9.01",low,2026-07-27 08:33:53-04:00,2026-07-27 13:30:00+00:00,29.979999542236328,56.11666666666667,2026-07-27 19:32:00+00:00,30.649999618530273,time,362.0,39.796207725671565,0.022348235040832387,0.889375003987098,4778.783663490571,positive,low
LKFN,small,"2.02,9.01",low,2026-07-27 07:00:05-04:00,2026-07-27 13:30:00+00:00,61.36000061035156,149.91666666666666,2026-07-27 19:55:00+00:00,63.31999969482422,time,385.0,39.84416362633579,0.03194261839922463,1.2727269141523152,4780.056390404723,positive,low
LKFN,small,"7.01,9.01",low,2026-07-27 07:00:19-04:00,2026-07-27 13:30:00+00:00,61.36000061035156,149.68333333333334,2026-07-27 19:55:00+00:00,63.31999969482422,time,385.0,39.84416362633579,0.03194261839922463,1.2727269141523152,4781.329117318875,positive,low
PEBO,small,"2.02,9.01",low,2026-07-27 13:35:38-04:00,2026-07-27 17:39:00+00:00,40.56999969482422,3.3666666666666667,2026-07-28 14:42:00+00:00,41.400001525878906,time,1263.0,39.81752568955166,0.0204585121345362,0.8146073324868937,4782.143724651362,neutral,low
FRAF,micro,"2.02,9.01",low,2026-07-24 07:45:27-04:00,2026-07-24 13:30:00+00:00,61.91999816894531,104.55,2026-07-28 15:57:00+00:00,64.33999633789062,time,5907.0,39.83057461608834,0.039082658922929614,1.5566847624248794,4783.700409413787,neutral,low
FRAF,micro,"7.01,9.01",low,2026-07-24 08:00:23-04:00,2026-07-24 13:30:00+00:00,61.91999816894531,89.61666666666666,2026-07-28 15:57:00+00:00,64.33999633789062,time,5907.0,39.82120521410765,0.039082658922929614,1.5563185812829587,4785.25672799507,neutral,low
CNOB,small,"8.01,9.01",low,2026-07-28 07:01:10-04:00,2026-07-28 13:30:00+00:00,32.9900016784668,148.83333333333334,2026-07-28 16:46:00+00:00,33.290000915527344,time,196.0,39.844409310990635,0.009093641157840837,0.362330760420285,4785.61905875549,neutral,low
AMIX,micro,8.01,medium,2026-07-28 11:36:42-04:00,2026-07-28 15:39:00+00:00,2.680000066757202,2.3,2026-07-28 17:16:00+00:00,2.8408000707626346,target,97.0,39.851197705428014,0.06000000000000005,2.3910718623256884,4788.010130617816,trap,medium
CAG,mid,"1.01,2.03,8.01,9.01",low,2026-07-28 13:55:09-04:00,2026-07-28 17:57:00+00:00,15.539999961853027,1.85,2026-07-28 19:57:00+00:00,15.399999618530273,time,120.0,39.90008442181513,-0.009009031123965339,-0.3594611024049783,4787.650669515411,neutral,low
DIOD,mid,"5.02,7.01,9.01",low,2026-07-28 13:00:14-04:00,2026-07-28 17:03:00+00:00,81.16000366210938,2.7666666666666666,2026-07-29 13:34:00+00:00,79.88999938964844,time,1231.0,39.88015882296243,-0.01564815444992218,-0.6240508847491384,4787.026618630662,neutral,low
CAC,small,"2.02,9.01",low,2026-07-28 08:05:37-04:00,2026-07-28 13:30:00+00:00,55.869998931884766,84.38333333333334,2026-07-29 14:01:00+00:00,57.88999938964844,time,1471.0,39.84440931099063,0.03615536954325704,1.440589342871661,4788.467207973534,positive,low
WAFD,mid,"7.01,9.01",low,2026-07-28 15:33:32-04:00,2026-07-28 19:36:00+00:00,36.72999954223633,2.466666666666667,2026-07-29 15:24:00+00:00,36.79999923706055,time,1188.0,39.90008442181513,0.0019057907894532988,0.07604121338950165,4788.543249186923,neutral,low
ARCB,small,"2.02,9.01",low,2026-07-29 02:00:41-04:00,2026-07-29 13:30:00+00:00,148.21499633789062,449.31666666666666,2026-07-29 16:27:00+00:00,138.3800048828125,time,177.0,39.89708891262842,-0.06635625070392315,-2.6474212342430903,4785.8958279526805,positive,low
JMSB,micro,"7.01,9.01",low,2026-07-28 09:00:15-04:00,2026-07-28 13:41:00+00:00,23.43000030517578,40.75,2026-07-29 18:51:20+00:00,23.614999771118164,time,1750.3333333333333,39.84440931099063,0.007895837111940418,0.31460496574106855,4786.210432918421,neutral,low
RMBI,micro,"2.02,9.01",low,2026-07-27 17:06:37-04:00,2026-07-28 13:43:00+00:00,15.454999923706055,996.3833333333333,2026-07-29 19:03:29+00:00,15.470000267028809,time,1760.4833333333333,39.844409310990635,0.000970581908560586,0.03867226283453107,4786.249105181256,neutral,low
USCB,small,"7.01,9.01",low,2026-07-28 13:46:36-04:00,2026-07-28 17:48:00+00:00,22.9950008392334,1.4,2026-07-29 19:09:38+00:00,22.350000381469727,time,1521.6333333333334,39.90008442181513,-0.028049594878169826,-1.1191812036366855,4785.129923977619,neutral,low
