ticker,direction,move,move_date,last_close,median_dollars,n_filings,forms,has_8k,has_offering,has_merger,has_13d,has_insider,bearish_item,bullish_item,scheduled_item,no_filing
AGX,down,-0.20361020881340952,2026-07-09,492.3500061035156,201308647.35717773,1,4,False,False,False,False,True,False,False,False,False
AIRJ,up,0.22015913207035998,2026-07-22,4.019999980926514,5312043.906402588,0,,False,False,False,False,False,False,False,False,True
AIRO,down,-0.2049934185821244,2026-07-06,6.244999885559082,2480733.050107956,0,,False,False,False,False,False,False,False,False,True
AIXI,down,-0.21428567005221055,2026-07-20,1.190000057220459,366659.99722480774,0,,False,False,False,False,False,False,False,False,True
AKAN,down,-0.28376698533019584,2026-07-23,5.78000020980835,318207.99827575684,-1,,False,False,False,False,False,False,False,False,False
ALAB,down,-0.26478922386683434,2026-07-10,249.74000549316406,1583262661.2976074,3,4,False,False,False,False,True,False,False,False,False
AKTX,up,0.42018349394434296,2026-07-07,8.25,575639.9917602539,2,"8-K,S-3",True,True,False,False,False,False,False,False,False
AKTX,down,-0.3073770474328609,2026-07-14,8.25,575639.9917602539,4,"EFFECT,S-3/A",False,True,False,False,False,False,False,False,False
ALDX,down,-0.2521738851002794,2026-07-09,1.6100000143051147,2735543.9656734467,0,,False,False,False,False,False,False,False,False,True
ALAR,down,-0.514960634651494,2026-07-06,1.7000000476837158,528727.9714584351,3,6-K,False,False,False,False,False,False,False,False,False
ALGS,up,0.24220187483627864,2026-07-01,4.25,452496.01798057556,8,"4,8-K,SCHEDULE 13D",True,False,False,True,True,False,False,False,False
ALGS,down,-0.28919859122028113,2026-07-17,4.25,452496.01798057556,0,,False,False,False,False,False,False,False,False,True
ALEC,down,-0.2797927339527152,2026-07-07,1.5199999809265137,913615.9805297852,0,,False,False,False,False,False,False,False,False,True
ALIT,up,0.2258928371479314,2026-07-01,20.290000915527344,16258125.0,1,8-K,True,False,False,False,False,False,True,False,False
ALM,down,-0.23372989233757724,2026-07-22,10.949999809265137,77773500.0,2,6-K,False,False,False,False,False,False,False,False,False
ALTO,down,-0.20547949567613222,2026-07-17,4.360000133514404,12288882.135486603,0,,False,False,False,False,False,False,False,False,True
AMAT,down,-0.22450244905196504,2026-07-23,436.45001220703125,4732900066.174316,0,,False,False,False,False,False,False,False,False,True
AMCI,up,0.23721888669149416,2026-07-06,4.329999923706055,1104564.0042304993,0,,False,False,False,False,False,False,False,False,True
AMBA,down,-0.20000002960955066,2026-07-10,69.19000244140625,112845632.27844238,2,"144,4",False,False,False,False,True,False,False,False,False
AMD,down,-0.22227656606119206,2026-07-22,429.55999755859375,14572749556.121826,2,"144,4",False,False,False,False,True,False,False,False,False
AMBQ,down,-0.2616377038268176,2026-07-22,57.2599983215332,44327375.20751953,0,,False,False,False,False,False,False,False,False,True
AMC,up,0.2680412193758104,2026-07-20,2.75,101824883.22930336,1,8-K,True,False,False,False,False,False,False,True,False
AMKR,down,-0.2474057104969587,2026-07-28,42.72999954223633,372513420.0515747,4,"10-Q,4,8-K",True,False,False,False,True,False,False,True,False
AMPG,down,-0.2874806363204149,2026-07-22,4.610000133514404,15620599.685907364,2,"25-NSE,8-K",True,False,False,False,False,False,True,False,False
AMSC,down,-0.20239526429340726,2026-07-22,26.639999389648438,29476249.808120728,-1,,False,False,False,False,False,False,False,False,False
ANAB,down,-0.2796160625372126,2026-07-13,52.13999938964844,42496600.0,1,144,False,False,False,False,True,False,False,False,False
AMTX,down,-0.2378378657026824,2026-07-23,1.409999966621399,1668655.4433345795,0,,False,False,False,False,False,False,False,False,True
ANNA,up,0.24817520598190468,2026-07-06,2.8399999141693115,612865.9806251526,1,8-K,True,False,False,False,False,False,False,False,False
ANNA,down,-0.2324324655219353,2026-07-22,2.8399999141693115,612865.9806251526,0,,False,False,False,False,False,False,False,False,True
ANY,up,0.3496932847359233,2026-07-21,2.059999942779541,514414.9791240692,1,SCHEDULE 13G,False,False,False,False,False,False,False,False,False
ANY,down,-0.266409251303961,2026-07-06,2.059999942779541,514414.9791240692,1,PRE 14A,False,False,False,False,False,False,False,False,False
APLD,down,-0.22805853150768107,2026-07-22,23.219999313354492,608272645.5932617,0,,False,False,False,False,False,False,False,False,True
APPS,down,-0.23015164272314592,2026-07-09,8.119999885559082,29917620.99456787,1,4,False,False,False,False,True,False,False,False,False
ARI,down,-0.33396584380135674,2026-07-16,6.599999904632568,37705646.86021805,2,"8-K,PREM14A",True,False,False,False,False,False,False,False,False
ARM,down,-0.20645728922706852,2026-07-22,224.88999938964844,2088980715.3305054,-1,,False,False,False,False,False,False,False,False,False
ARMP,up,0.38829782006156655,2026-07-16,4.570000171661377,705167.992401123,3,"4,8-K,S-8",True,False,False,False,True,False,False,True,False
ARMP,down,-0.27674018243676746,2026-07-02,4.570000171661377,705167.992401123,0,,False,False,False,False,False,False,False,False,True
ASBP,up,0.2847682579291151,2026-07-15,5.610000133514404,389087.01100349426,0,,False,False,False,False,False,False,False,False,True
ASBP,down,-0.22567284718714775,2026-07-29,5.610000133514404,389087.01100349426,0,,False,False,False,False,False,False,False,False,True
ARWR,up,0.23503198726182184,2026-07-15,86.22000122070312,163450875.0,0,,False,False,False,False,False,False,False,False,True
ASPI,down,-0.23323616173612105,2026-07-09,3.5399999618530273,21326517.708969116,2,4,False,False,False,False,True,False,False,False,False
ASPN,down,-0.22975514187162804,2026-07-22,4.090000152587891,4926867.054319382,-1,,False,False,False,False,False,False,False,False,False
ASTI,down,-0.25178145681112607,2026-07-09,2.7899999618530273,1605492.0142650604,7,4,False,False,False,False,True,False,False,False,False
ASX,down,-0.2314151753719612,2026-07-22,31.1200008392334,433371446.6732025,-1,,False,False,False,False,False,False,False,False,False
ATOM,down,-0.22750865216042282,2026-07-22,4.465000152587891,4593952.1156311035,0,,False,False,False,False,False,False,False,False,True
ATRC,up,0.23909089059540722,2026-07-23,40.88999938964844,29221443.128204346,1,8-K,True,False,False,False,False,False,False,True,False
ATRA,down,-0.21637429020513288,2026-07-07,8.0600004196167,594080.0071716309,1,3,False,False,False,False,True,False,False,False,False
AUGO,down,-0.20995134106906366,2026-07-06,54.5,47796661.07940674,11,"144,4",False,False,False,False,True,False,False,False,False
AUUD,down,-0.2148148710672083,2026-07-16,1.059999942779541,251621.9980955124,-1,,False,False,False,False,False,False,False,False,False
AVAV,down,-0.2426004385073357,2026-07-02,142.1199951171875,235881626.19628906,1,S-8,False,False,False,False,False,False,False,False,False
AVTR,up,0.3132420424586264,2026-07-22,14.380000114440918,100021712.56828308,1,8-K,True,False,False,False,False,False,True,False,False
AXTI,down,-0.3021894764036347,2026-07-22,36.970001220703125,444286792.1066284,1,8-K,True,False,False,False,False,False,False,False,False
BATL,up,0.2535211444965224,2026-07-07,1.5199999809265137,15937369.518339634,2,8-K,True,False,False,False,False,False,True,True,False
BBIO,up,0.21001076530959617,2026-07-01,83.54000091552734,200612958.19854736,15,"144,4,8-K",True,False,False,False,True,False,False,False,False
BCTX,up,0.2085889781430863,2026-07-02,3.4000000953674316,376959.9884033203,1,8-K,True,False,False,False,False,False,False,True,False
BE,down,-0.26261822510187527,2026-07-21,163.75,3593080733.8928223,0,,False,False,False,False,False,False,False,False,True
BEAM,down,-0.20742602927071974,2026-07-09,26.020000457763672,76634006.5486908,1,4,False,False,False,False,True,False,False,False,False
BGDE,down,-0.32303729191842023,2026-07-09,4.71999979019165,647240.9984111786,3,"4,8-K,SCHEDULE 13D/A",True,False,False,True,True,True,True,True,False
BIVI,down,-0.2775330398789212,2026-07-13,1.2599999904632568,341249.98450279236,0,,False,False,False,False,False,False,False,False,True
BIYA,up,1.1606218599083276,2026-07-27,5.829999923706055,3853840.0959968567,1,F-3,False,True,False,False,False,False,False,False,False
BIYA,down,-0.2834395143854097,2026-07-06,5.829999923706055,3853840.0959968567,1,6-K,False,False,False,False,False,False,False,False,False
BLKB,up,0.36416559511960567,2026-07-22,42.18000030517578,20555616.050720215,0,,False,False,False,False,False,False,False,False,True
BLZE,down,-0.24886363747198714,2026-07-10,11.380000114440918,33854310.42203903,0,,False,False,False,False,False,False,False,False,True
BNAI,down,-0.21495320994312184,2026-07-06,11.619999885559082,3249567.947769165,5,"8-K,8-K/A,D",True,False,False,False,False,True,True,True,False
BRR,up,0.4295302689985603,2026-07-08,1.6699999570846558,925100.0304222107,2,4,False,False,False,False,True,False,False,False,False
BSIN,up,0.23893803722642382,2026-07-10,1.1200000047683716,2322336.024427414,0,,False,False,False,False,False,False,False,False,True
BTDR,down,-0.27406203487958736,2026-07-22,8.899999618530273,124502048.64263535,1,6-K,False,False,False,False,False,False,False,False,False
BTBT,down,-0.22435892145544156,2026-07-22,1.2100000381469727,42037530.23040295,1,DEFA14A,False,False,False,False,False,False,False,False,False
BW,down,-0.27883743032157615,2026-07-23,7.940000057220459,42325798.98452759,0,,False,False,False,False,False,False,False,False,True
BWEN,up,0.22355777386730535,2026-07-07,3.490000009536743,1600984.9685192108,3,4,False,False,False,False,True,False,False,False,False
BWEN,down,-0.3262548020863375,2026-07-23,3.490000009536743,1600984.9685192108,0,,False,False,False,False,False,False,False,False,True
BXBL,up,0.2639593773475002,2026-07-27,4.980000019073486,706515.0134086609,10,"3,8-K,S-3,S-3/A,SCHEDULE 13D,SCHEDULE 13G/A",True,True,False,True,True,True,True,True,False
BZUN,up,0.2520324698962628,2026-07-23,3.0799999237060547,629300.0206947327,0,,False,False,False,False,False,False,False,False,True
BYRN,up,0.29874214708821567,2026-07-20,4.329999923706055,3715937.959957123,1,4,False,False,False,False,True,False,False,False,False
BYRN,down,-0.33670033345687755,2026-07-09,4.329999923706055,3715937.959957123,3,"10-Q,8-K",True,False,False,False,False,False,True,True,False
CABO,down,-0.3377769138324609,2026-07-01,41.849998474121094,9438351.641845703,0,,False,False,False,False,False,False,False,False,True
CAMP,down,-0.28314602383157206,2026-07-14,3.2699999809265137,697640.034198761,-1,,False,False,False,False,False,False,False,False,False
