ticker,et,verdict,entry,gap,adv,max_up,max_dn,prior_mom,cik,revenue,concept,period,market_cap,as_of,rev_per_cap,cash,rnd,opcf,net_income,liabilities,equity,opex,burn_annual,runway_years,cash_per_cap,liab_per_cash,equity_per_cap,is_profitable,pre_revenue,log_cap,log_price,log_adv,up,dn,burn_rank,tercile,q,capq
GALT,2025-09-08 11:56:25+00:00,POSITIVE,4.679999828338623,0.002141274492786227,784644.4979429245,0.3995727416639845,-0.12820511253000733,2.485074596990321,0001133416,,,,360659282.3911152,2025-11-05,,17720000.0,14290000.0,-23875000.0,-30836000.0,145727000.0,-127918000.0,20085000.0,23875000.0,0.7421989528795812,0.04913224437901374,8.223871331828443,-0.3546782413360429,False,True,8.557097114231235,0.6702458371442971,5.894672933749013,False,False,0.1853035143769968,LOW,2025Q3,mid
DNTH,2025-09-08 12:01:42+00:00,POSITIVE,31.729999542236328,-0.0022012483177245024,7855512.049484253,0.2656791814306354,-0.048219312996215735,0.6485224327523682,0001690585,2036000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,1068653078.5577583,2025-11-04,0.0019052020163061354,51087000.0,145638000.0,-129060000.0,-162337000.0,37521000.0,493401000.0,179969000.0,129060000.0,0.39583914458391445,0.047805037036852426,0.7344529919549004,0.4617036247777325,False,False,9.028836741204044,1.5014700658349147,6.895174499117247,False,False,0.5923566878980892,MID,2025Q3,mid
ALKS,2025-09-08 13:15:27+00:00,POSITIVE,28.559999465942383,0.003866386645100528,38861325.188827515,0.13130259024761148,-0.07563024817237463,-0.07569850135568612,0001520262,1475899000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,4958942640.293404,2025-10-23,0.29762372889892436,388570000.0,323964000.0,520754000.0,241700000.0,667698000.0,1819295000.0,1221943000.0,323964000.0,1.199423392722648,0.07835742983649628,1.7183467586277892,0.3668715554839244,True,False,9.695389084869426,1.4557581949830487,7.58951760615523,False,False,0.8952380952380953,HIGH,2025Q3,large
RARE,2025-09-08 20:15:17+00:00,POSITIVE,31.530000686645508,0.0006347336597394282,38924235.29586792,0.02442113966528292,-0.11988584219240195,-0.19801477488820485,0001515673,673000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,3333495146.0751457,2025-10-29,0.20189019947798323,421000000.0,750000000.0,-466000000.0,-575000000.0,1605000000.0,-80000000.0,,466000000.0,0.9034334763948498,0.12629386921282457,3.812351543942993,-0.02399883500481227,False,False,9.522899827082908,1.4987239802057655,7.590220089190136,False,False,0.9523809523809523,HIGH,2025Q3,large
XLO,2025-09-09 07:35:11+00:00,POSITIVE,10.583999633789062,0.007999965122767794,271615.14391183853,0.20370372372710066,-0.059523732290707065,0.13293055649594443,0001840233,43766000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,603691483.4221172,2025-11-06,0.07249729572447462,137531000.0,56039000.0,-4992000.0,-35036000.0,119412000.0,35273000.0,85748000.0,4992000.0,27.55028044871795,0.22781669739712834,0.8682551570191448,0.05842885143923121,False,False,8.780815049087085,1.0246498161526691,5.43395398038753,False,False,0.0189873417721519,LOW,2025Q3,mid
TCRX,2025-09-09 11:00:22+00:00,NEGATIVE,1.8600000143051147,0.010869554654186597,329951.4913856983,0.29032262199420344,-0.13978494003420283,0.18709683224760587,0001783328,10325000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,77445523.11732388,2022-06-02,0.1333195204112501,152406000.0,114150000.0,-135319000.0,-129766000.0,105666000.0,123123000.0,146138000.0,135319000.0,1.126271994324522,1.9679123319900222,0.6933191606629661,1.5898013861108322,False,False,7.888996317619592,0.2695129475580412,5.518450095720161,False,False,0.6151419558359621,MID,2025Q3,small
CGON,2025-09-09 11:00:36+00:00,POSITIVE,33.779998779296875,0.009261952413733399,14072124.20539856,0.3486974468404187,-0.0378922091637659,0.29427689213995367,0001991792,4040000.0,RevenueFromContractWithCustomerIncludingAssessedTax,CY2025,2978992966.401085,2025-11-04,0.0013561629871455237,32490000.0,116641000.0,-132346000.0,-161000000.0,38990000.0,752602000.0,115805000.0,132346000.0,0.24549287473743067,0.010906370161474768,1.2000615574022777,0.2526363803098256,False,False,9.474069477818333,1.5286596295409507,7.148359659698492,False,False,0.60062893081761,MID,2025Q3,large
AVBP,2025-09-09 12:00:13+00:00,MIXED,19.65999984741211,-0.008072646310579468,4748659.011459351,0.11190237945139381,-0.13326546043842635,-0.148259591537241,0001868279,,,,746062855.3986816,2025-11-06,,45540000.0,153351000.0,-160588000.0,-166308000.0,25945000.0,307224000.0,177534000.0,160588000.0,0.28358283308840015,0.061040433350169,0.5697189284145806,0.4117937219054089,False,True,8.872775418093127,1.293583510125411,6.676570985173001,False,False,0.7044025157232704,HIGH,2025Q3,mid
CELC,2025-09-10 11:58:20+00:00,POSITIVE,58.939998626708984,0.053817241285704975,46692573.73714447,0.006888395896462507,-0.24635223610581924,3.488764055693662,0001603454,,,,3164608218.118744,2025-11-05,,165703000.0,144995000.0,-153280000.0,-177042000.0,366003000.0,100555000.0,172192000.0,153280000.0,1.0810477557411273,0.0523612999079251,2.2087892192657947,0.031774865344872505,False,True,9.500319951560009,1.7704101213949257,7.669247813297548,False,False,0.6942675159235668,HIGH,2025Q3,large
CORT,2025-09-10 12:09:04+00:00,POSITIVE,71.83999633789062,0.003071678062998906,42789218.34411621,0.26670385076291825,-0.039114667341814346,0.010155165094606122,0001088856,761407000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,7760628001.634499,2025-10-22,0.098111518789412,120495000.0,254908000.0,141996000.0,99652000.0,188846000.0,647805000.0,716610000.0,254908000.0,0.47269995449338587,0.015526449660339607,1.5672517531847794,0.08347327044455205,True,False,9.889896866439763,1.856366301520691,7.631334353042996,False,False,0.8312101910828026,HIGH,2025Q3,large
GYRE,2025-09-10 13:00:50+00:00,POSITIVE,8.229999542236328,0.0073438758117612135,629433.5046768188,0.14459302554642184,-0.13608742053679235,0.01743466350912959,0001124105,116588000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,726201200.1059446,2025-10-29,0.16054503900983794,37070000.0,13698000.0,1010000.0,9880000.0,23850000.0,106031000.0,105101000.0,13698000.0,2.7062344867863923,0.051046459293363745,0.6433773941192339,0.14600774549054898,True,False,8.86105696228406,0.9153998110562258,5.798949856640408,False,False,0.09841269841269841,LOW,2025Q3,mid
PMVP,2025-09-10 16:04:39+00:00,POSITIVE,1.2899999618530273,0.015748016714081325,837896.5189576149,0.17054266288055486,-0.13100768631950455,0.1869158118414036,0001699382,,,,69418028.80783844,2025-11-05,,37983000.0,69877000.0,-73577000.0,-77742000.0,11850000.0,104712000.0,86206000.0,73577000.0,0.5162346929067507,0.5471633328157987,0.3119816760129532,1.5084265830979098,False,True,7.841472277298041,0.11058969745659783,5.923190386147318,False,False,0.44936708860759494,MID,2025Q3,small
RVMD,2025-09-10 20:05:33+00:00,SILENT,42.900001525878906,0.06056862093273829,71870921.42944336,0.2051281800480136,-0.0167832446408841,0.017098322789760978,0001628171,0.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,11004756695.633812,2025-10-30,0.0,383745000.0,987332000.0,-897741000.0,-1131000000.0,723211000.0,1631297000.0,1182369000.0,897741000.0,0.4274562485171113,0.034870830006832644,1.8846134803059322,0.14823562620400546,False,True,10.041580445170899,1.6324573076318285,7.856553212814971,False,False,0.9842271293375394,HIGH,2025Q3,large
CTOR,2025-09-10 20:45:59+00:00,POSITIVE,1.840000033378601,-0.01604276540816718,292091.00073575974,0.22282606477379163,-0.08695656680880426,0.3453237582830089,0001851484,,,,109718815.73149967,2025-11-09,,7295451.0,6418334.0,-5492046.0,-24761369.0,51559705.0,58413701.0,23522750.0,5492046.0,1.328366696127454,0.06649225068062338,7.0673773286942785,0.5323945634169814,False,True,8.04028111132722,0.2648178308878746,5.46551817665514,False,False,0.018867924528301886,LOW,2025Q3,small
ARWR,2025-09-11 11:31:06+00:00,POSITIVE,29.649999618530273,-0.002355306071382235,61425624.35092926,0.35881962843818904,-0.051601983102241844,0.9174193105389994,0000879407,829448000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,5849677130.367851,2025-10-30,0.14179380870339436,201643000.0,607159000.0,179552000.0,-1631000.0,347425000.0,568422000.0,731102000.0,607159000.0,0.3321090521593191,0.034470791379783365,1.7229707949197344,0.09717151687724948,False,False,9.767131896104532,1.4720246921127536,7.788349579491317,False,False,0.9684542586750788,HIGH,2025Q3,large
