ticker,cik,entity,revenue,concept,period,market_cap,as_of,rev_per_cap
NRP,0001171486,NATURAL RESOURCE PARTNERS LP,232351000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2024,1356902642.122284,2025-11-04,0.17123630891939892
NRSN,0001875091,,,,,21602915.296146333,2025-03-31,
NRT,0000072633,,,,,,,
NRXP,0001719406,"NRX Pharmaceuticals, Inc.",1225000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,52021405.34714484,2025-11-12,0.023547998978986316
NRXS,0001933567,"Neuraxis, Inc.",3569282.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,29477560.934020042,2025-09-28,0.12108471280880953
NSA,0001618563,National Storage Affiliates Trust,752929000.0,Revenues,CY2025,2231560009.1431656,2025-10-30,0.3374002925823609
NSC,0000702165,NORFOLK SOUTHERN CORPORATION,12180000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,65532108755.755554,2025-12-29,0.18586308652749184
NSFDF,0001009922,,,,,48484489.61701012,2025-07-27,
NSIT,0000932696,"INSIGHT ENTERPRISES, INC.",8247180000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,3405137867.1588135,2025-10-23,2.421981230052603
NSLR,0001509470,,,,,234342339.6938486,2025-11-04,
NSP,0001000753,"Insperity, Inc.",6812000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,1746551874.15419,2025-10-23,3.900256328372082
NSPR,0001433607,"InspireMD, Inc.",8979000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,92202664.61151695,2025-11-02,0.09738330272592188
NSRCF,0001302084,,,,,209857579.01080227,2023-01-18,
NSRX,0002029039,NASUS PHARMA LTD.,1235000000.0,Revenues,CY2025,,,
NSSC,0000069633,"NAPCO SECURITY TECHNOLOGIES, INC",181621000.0,Revenues,CY2025,1088590557.6133213,2025-07-31,0.16684050649694654
NSTM,0000912544,,,,,937629.4790423475,2025-11-04,
NSTS,0001881592,"NSTS Bancorp, Inc.",252000.0,RevenueFromContractWithCustomerIncludingAssessedTax,CY2025,58488617.913700104,2025-11-05,0.0043085305994377526
NSYS,0000722313,NORTECH SYSTEMS INCORPORATED,118365000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,26719025.48513031,2025-10-29,4.429989412071656
NTAP,0001002047,"NetApp, Inc.",6925000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,20608601744.20912,2025-11-20,0.33602473792021714
NTB,0001653242,The Bank of N.T. Butterfield & Son Limited,606792000.0,Revenues,CY2025,1694498062.9595795,2025-03-31,0.3580954226292759
NTCS,0001933359,NATICS CORP.,27600.0,Revenues,CY2025,,,
NTCT,0001078075,"NETSCOUT SYSTEMS, INC.",859482000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,1929851000.0682392,2025-10-26,0.4453618439815348
NTES,0001110646,"NETEASE, INC.",16105276000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,326046336126.0138,2025-03-31,0.04939566624596409
NTGR,0001122904,"NETGEAR, Inc.",699621000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,933785409.9928093,2025-10-23,0.7492310251510436
NTHI,0001979414,"NeOnc Technologies Holdings, Inc.",39990.0,Revenues,CY2025,173964789.9782753,2025-11-16,0.00022987410271350854
